size_MB,latency_ns
0.00049,1.147
0.00098,1.147
0.00195,1.148
0.00293,1.147
0.00391,1.147
0.00586,1.147
0.00781,1.147
0.00977,1.147
0.01172,1.147
0.01367,1.147
0.01562,1.147
0.01758,1.147
0.01953,1.148
0.02148,1.148
0.02344,1.148
0.02539,1.148
0.02734,1.148
0.02930,1.148
0.03125,1.149
0.03516,3.442
0.03906,3.442
0.04297,3.442
0.04688,3.442
0.05078,3.442
0.05469,3.442
0.05859,3.442
0.06250,3.443
0.07031,3.443
0.07812,3.443
0.08594,3.443
0.09375,3.443
0.10156,3.444
0.10938,3.445
0.11719,4.236
0.12500,4.190
0.14062,4.109
0.15625,5.242
0.17188,6.082
0.18750,6.741
0.20312,6.985
0.21875,6.645
0.23438,6.989
0.25000,7.918
0.28125,8.667
0.31250,9.297
0.34375,9.786
0.37500,10.259
0.40625,10.791
0.43750,11.072
0.46875,11.282
0.50000,11.416
0.56250,11.691
0.62500,11.897
0.68750,11.865
0.75000,12.067
0.81250,12.165
0.87500,12.162
0.93750,12.166
1.00000,12.163
1.12500,12.166
1.25000,12.164
1.37500,12.165
1.50000,12.166
1.62500,12.159
1.75000,12.165
1.87500,12.160
2.00000,12.163
2.25000,12.164
2.50000,12.163
2.75000,11.309
3.00000,11.309
3.25000,11.742
3.50000,11.694
3.75000,11.309
4.00000,11.310
4.50000,11.310
5.00000,11.780
5.50000,11.975
6.00000,11.811
6.50000,12.008
7.00000,12.188
7.50000,12.019
8.00000,12.763
9.00000,14.099
10.00000,15.306
11.00000,17.962
12.00000,20.342
13.00000,23.553
14.00000,26.160
15.00000,28.821
16.00000,31.680
18.00000,39.831
20.00000,38.587
22.00000,40.889
24.00000,46.848
26.00000,44.813
28.00000,47.694
30.00000,47.158
32.00000,51.338
36.00000,52.196
40.00000,51.385
44.00000,52.849
48.00000,53.512
52.00000,54.754
56.00000,56.235
60.00000,56.786
64.00000,56.923
72.00000,57.848
80.00000,58.069
88.00000,58.550
96.00000,59.778
104.00000,59.235
112.00000,59.290
120.00000,59.126
128.00000,59.979
144.00000,60.121
160.00000,60.445
176.00000,60.548
192.00000,60.803
208.00000,60.499
224.00000,61.008
240.00000,61.109
256.00000,61.179
